,id,created_at,updated_at,created_by,updated_by,is_deleted,deleted_by,deleted_at,restored_at,restored_by,division,profit_center,work_day,smooth_family,cycle_time,workdata_id,owner,product_id,version,planning_approval_id
73,1048216,2023-01-11 10:38:00.790708,2023-01-11 10:38:00.790708,Marwa,Marwa,False,,2023-01-11 10:38:00.790708,2023-01-11 10:38:00.790708,Marwa,15,105,2023-04-14,1,10.72,4502,officiel,25,4,143
74,1048217,2023-01-11 10:38:00.800779,2023-01-11 10:38:00.800779,Marwa,Marwa,False,,2023-01-11 10:38:00.800779,2023-01-11 10:38:00.800779,Marwa,15,105,2023-04-17,1,10.72,4506,officiel,25,4,143
75,1048218,2023-01-11 10:38:00.810575,2023-01-11 10:38:00.810575,Marwa,Marwa,False,,2023-01-11 10:38:00.810575,2023-01-11 10:38:00.810575,Marwa,15,105,2023-04-18,1,10.72,4507,officiel,25,4,143
76,1048219,2023-01-11 10:38:00.820626,2023-01-11 10:38:00.820626,Marwa,Marwa,False,,2023-01-11 10:38:00.820626,2023-01-11 10:38:00.820626,Marwa,15,105,2023-04-19,1,10.72,4508,officiel,25,4,143
77,1048220,2023-01-11 10:38:00.830466,2023-01-11 10:38:00.830466,Marwa,Marwa,False,,2023-01-11 10:38:00.830466,2023-01-11 10:38:00.830466,Marwa,15,105,2023-04-24,1,10.72,4509,officiel,25,4,143
78,1048221,2023-01-11 10:38:00.840524,2023-01-11 10:38:00.840524,Marwa,Marwa,False,,2023-01-11 10:38:00.840524,2023-01-11 10:38:00.840524,Marwa,15,105,2023-04-25,1,10.72,4510,officiel,25,4,143
79,1048222,2023-01-11 10:38:00.850643,2023-01-11 10:38:00.850643,Marwa,Marwa,False,,2023-01-11 10:38:00.850643,2023-01-11 10:38:00.850643,Marwa,15,105,2023-04-26,1,10.72,4511,officiel,25,4,143
80,1048223,2023-01-11 10:38:00.860787,2023-01-11 10:38:00.860787,Marwa,Marwa,False,,2023-01-11 10:38:00.860787,2023-01-11 10:38:00.860787,Marwa,15,105,2023-04-27,1,10.72,4512,officiel,25,4,143
81,1048224,2023-01-11 10:38:00.860787,2023-01-11 10:38:00.860787,Marwa,Marwa,False,,2023-01-11 10:38:00.860787,2023-01-11 10:38:00.860787,Marwa,15,105,2023-04-28,1,10.72,4513,officiel,25,4,143
82,1048225,2023-01-11 10:38:00.875785,2023-01-11 10:38:00.875785,Marwa,Marwa,False,,2023-01-11 10:38:00.875785,2023-01-11 10:38:00.875785,Marwa,15,105,2023-05-02,1,10.72,4518,officiel,25,4,143
83,1048226,2023-01-11 10:38:00.880846,2023-01-11 10:38:00.880846,Marwa,Marwa,False,,2023-01-11 10:38:00.880846,2023-01-11 10:38:00.880846,Marwa,15,105,2023-05-03,1,10.72,4519,officiel,25,4,143
84,1048227,2023-01-11 10:38:00.890483,2023-01-11 10:38:00.890483,Marwa,Marwa,False,,2023-01-11 10:38:00.890483,2023-01-11 10:38:00.890483,Marwa,15,105,2023-05-04,1,10.72,4520,officiel,25,4,143
85,1048228,2023-01-11 10:38:00.908596,2023-01-11 10:38:00.908596,Marwa,Marwa,False,,2023-01-11 10:38:00.908596,2023-01-11 10:38:00.908596,Marwa,15,105,2023-05-05,1,10.72,4521,officiel,25,4,143
86,1048229,2023-01-11 10:38:00.915275,2023-01-11 10:38:00.915275,Marwa,Marwa,False,,2023-01-11 10:38:00.915275,2023-01-11 10:38:00.915275,Marwa,15,105,2023-05-08,1,10.72,4522,officiel,25,4,143
87,1048230,2023-01-11 10:38:00.920900,2023-01-11 10:38:00.920900,Marwa,Marwa,False,,2023-01-11 10:38:00.920900,2023-01-11 10:38:00.920900,Marwa,15,105,2023-05-09,1,10.72,4523,officiel,25,4,143
88,1048231,2023-01-11 10:38:00.930556,2023-01-11 10:38:00.930556,Marwa,Marwa,False,,2023-01-11 10:38:00.930556,2023-01-11 10:38:00.930556,Marwa,15,105,2023-05-10,1,10.72,4524,officiel,25,4,143
89,1048232,2023-01-11 10:38:00.940685,2023-01-11 10:38:00.940685,Marwa,Marwa,False,,2023-01-11 10:38:00.940685,2023-01-11 10:38:00.940685,Marwa,15,105,2023-05-11,1,10.72,4525,officiel,25,4,143
90,1048233,2023-01-11 10:38:00.950636,2023-01-11 10:38:00.950636,Marwa,Marwa,False,,2023-01-11 10:38:00.950636,2023-01-11 10:38:00.950636,Marwa,15,105,2023-05-12,1,10.72,4526,officiel,25,4,143
91,1048234,2023-01-11 10:38:00.956884,2023-01-11 10:38:00.956884,Marwa,Marwa,False,,2023-01-11 10:38:00.956884,2023-01-11 10:38:00.956884,Marwa,15,105,2023-05-15,1,10.72,4527,officiel,25,4,143
92,1048235,2023-01-11 10:38:00.970600,2023-01-11 10:38:00.970600,Marwa,Marwa,False,,2023-01-11 10:38:00.970600,2023-01-11 10:38:00.970600,Marwa,15,105,2023-05-16,1,10.72,4528,officiel,25,4,143
93,1048236,2023-01-11 10:38:00.970600,2023-01-11 10:38:00.970600,Marwa,Marwa,False,,2023-01-11 10:38:00.970600,2023-01-11 10:38:00.970600,Marwa,15,105,2023-05-17,1,10.72,4529,officiel,25,4,143
94,1048237,2023-01-11 10:38:00.980610,2023-01-11 10:38:00.980610,Marwa,Marwa,False,,2023-01-11 10:38:00.980610,2023-01-11 10:38:00.980610,Marwa,15,105,2023-05-18,1,10.72,4530,officiel,25,4,143
95,1048238,2023-01-11 10:38:00.990937,2023-01-11 10:38:00.990937,Marwa,Marwa,False,,2023-01-11 10:38:00.990937,2023-01-11 10:38:00.990937,Marwa,15,105,2023-05-19,1,10.72,4531,officiel,25,4,143
96,1048239,2023-01-11 10:38:01.000845,2023-01-11 10:38:01.000845,Marwa,Marwa,False,,2023-01-11 10:38:01.000845,2023-01-11 10:38:01.000845,Marwa,15,105,2023-05-22,1,10.72,4537,officiel,25,4,143
97,1048240,2023-01-11 10:38:01.010699,2023-01-11 10:38:01.010699,Marwa,Marwa,False,,2023-01-11 10:38:01.010699,2023-01-11 10:38:01.010699,Marwa,15,105,2023-05-23,1,10.72,4538,officiel,25,4,143
98,1048241,2023-01-11 10:38:01.020473,2023-01-11 10:38:01.020473,Marwa,Marwa,False,,2023-01-11 10:38:01.020473,2023-01-11 10:38:01.020473,Marwa,15,105,2023-05-24,1,10.72,4539,officiel,25,4,143
99,1048242,2023-01-11 10:38:01.030647,2023-01-11 10:38:01.030647,Marwa,Marwa,False,,2023-01-11 10:38:01.030647,2023-01-11 10:38:01.030647,Marwa,15,105,2023-05-25,1,10.72,4540,officiel,25,4,143
100,1048243,2023-01-11 10:38:01.040608,2023-01-11 10:38:01.040608,Marwa,Marwa,False,,2023-01-11 10:38:01.040608,2023-01-11 10:38:01.040608,Marwa,15,105,2023-05-26,1,10.72,4541,officiel,25,4,143
101,1048244,2023-01-11 10:38:01.050691,2023-01-11 10:38:01.050691,Marwa,Marwa,False,,2023-01-11 10:38:01.050691,2023-01-11 10:38:01.050691,Marwa,15,105,2023-05-29,1,10.72,4542,officiel,25,4,143
102,1048245,2023-01-11 10:38:01.056810,2023-01-11 10:38:01.056810,Marwa,Marwa,False,,2023-01-11 10:38:01.056810,2023-01-11 10:38:01.056810,Marwa,15,105,2023-05-30,1,10.72,4543,officiel,25,4,143
