,key_start_day,division,profit_centre,order,material,designation,order_type,order_quantity,date_start_plan,date_end_plan,fixation,date_reordo,message,order_stat,customer_order,date_end_real,AllocatedTime,Leadtime,workstation,Allocated_Time_On_Workstation,Smooth_Family,Ranking,Freeze_end_date,Remain_to_do,closed,freezed,key,smoothing_end_date
70,,2110,107,982025059,IS0028165M,107B-800VU-COA-40,KD,1,14/09/2023,21/09/2023,None,,nan,None,A210702067,,20.71,4.0,prod,0.0,2,2023-09-21,,,False,not_freezed,21101072NaT,
71,,2110,107,982115293,IS0028108M,107A-800VU-COA-40,KD,1,19/09/2023,26/09/2023,None,,nan,None,A110702068,,20.71,4.0,prod,0.0,2,2023-09-26,,,False,not_freezed,21101072NaT,
72,,2110,107,982358336,IS0028165M,107B-800VU-COA-40,KD,1,20/09/2023,28/09/2023,None,,nan,None,A210702068,,20.71,4.0,prod,0.0,2,2023-09-28,,,False,not_freezed,21101072NaT,
73,,2110,107,982152234,IS0028165M,107B-800VU-COA-40,KD,1,29/09/2023,06/10/2023,None,,nan,None,A210702069,,20.71,4.0,prod,0.0,2,2023-10-06,,,False,not_freezed,21101072NaT,
74,,2110,107,982170617,IS0028165M,107B-800VU-COA-40,KD,1,09/10/2023,16/10/2023,None,,nan,None,A210702070,,20.71,4.0,prod,0.0,2,2023-10-16,,,False,not_freezed,21101072NaT,
75,,2110,107,982358337,IS0028165M,107B-800VU-COA-40,KD,1,20/10/2023,27/10/2023,None,,nan,None,A210702071,,20.71,4.0,prod,0.0,2,2023-10-27,,,False,not_freezed,21101072NaT,
76,,2110,107,982402700,IS0028108M,107A-800VU-COA-40,KD,1,30/10/2023,06/11/2023,None,,nan,None,A110702072,,20.71,4.0,prod,0.0,2,2023-11-06,,,False,not_freezed,21101072NaT,
77,,2110,107,982407369,IS0028165M,107B-800VU-COA-40,KD,1,08/11/2023,15/11/2023,None,,nan,None,A210702073,,20.71,4.0,prod,0.0,2,2023-11-15,,,False,not_freezed,21101072NaT,
78,,2110,107,982420459,IS0028165M,107B-800VU-COA-40,KD,1,16/11/2023,23/11/2023,None,,nan,None,A210702074,,20.71,4.0,prod,0.0,2,2023-11-23,,,False,not_freezed,21101072NaT,
79,,2110,107,982471562,IS0028165M,107B-800VU-COA-40,KD,1,24/11/2023,01/12/2023,None,,nan,None,A210702075,,20.71,4.0,prod,0.0,2,2023-12-01,,,False,not_freezed,21101072NaT,
