,id,created_at,updated_at,created_by,updated_by,is_deleted,deleted_by,deleted_at,restored_at,restored_by,material,plan_date,element,data_element_planif,message,needs,qte_available,date_reordo,supplier,customer,product_id,planning_approval_id,element_stock_stkcli,plan_date_week,plan_date_month,plan_date_year,plan_date_year_week,plan_date_year_month
175,236539,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511315,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
178,236542,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511316,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
181,236545,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511320,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
184,236548,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511321,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
187,236551,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511322,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
190,236554,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511323,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
193,236557,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511325,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
196,236560,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511327,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
199,236563,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511328,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
202,236566,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511330,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
205,236569,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511332,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
208,236572,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511333,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
211,236575,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511335,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
214,236578,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511337,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
217,236581,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511338,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
220,236584,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511339,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
223,236587,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511340,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
226,236590,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511342,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
229,236593,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511343,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
232,236596,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511345,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
